# Acquisition started at 12/08/2022 - 14:30:17 
#
#******************************************* 
#
Event	EvType	ASIC	ChType	Ch	ADC
0	011	2	11	0		0
1	011	2	10	21		557
2	011	2	10	27		571
3	011	2	10	20		580
4	011	2	10	8		605
5	011	2	10	18		550
6	011	2	10	26		578
7	011	2	10	19		1015
8	011	2	10	6		578
9	011	2	10	25		567
10	011	2	10	29		696
11	011	2	10	2		581
12	011	2	10	29		583
13	011	2	10	19		528
14	011	2	10	4		599
15	011	2	10	24		556
16	011	2	10	20		589
17	011	2	10	2		615
18	011	2	10	4		650
19	011	2	10	2		547
20	011	2	10	7		613
21	011	2	10	0		616
22	011	2	10	7		545
23	011	2	10	10		622
24	011	2	10	20		699
25	011	2	10	12		626
26	011	2	10	4		605
27	011	2	10	31		574
28	011	2	10	26		609
29	011	2	10	30		655
30	011	2	10	6		673
31	011	2	10	29		588
32	011	2	10	30		701
33	011	2	10	14		557
34	011	2	10	24		570
35	011	2	10	24		551
36	011	2	10	9		554
37	011	2	10	14		590
38	011	2	10	6		609
39	011	2	10	6		584
40	011	2	10	1		603
41	011	2	10	0		605
42	011	2	10	1		604
43	011	2	10	30		654
44	011	2	10	14		609
45	011	2	10	23		576
46	011	2	10	2		585
47	011	2	10	28		634
48	011	2	10	31		625
49	011	2	10	0		674
50	011	2	10	31		544
51	011	2	10	27		644
52	011	2	10	10		583
53	011	2	11	0		0
54	000	2	00	27		581
54	011	2	10	28		574
55	011	2	10	27		610
56	011	2	10	18		575
57	011	2	10	30		574
58	011	2	10	1		577
59	011	2	10	11		614
60	011	2	10	20		678
61	011	2	10	22		823
62	011	2	10	22		616
63	011	2	10	23		568
64	011	2	10	10		698
65	011	2	10	1		609
66	011	2	10	20		651
67	011	2	10	30		710
68	011	2	10	6		602
69	011	2	10	15		656
70	011	2	10	31		553
71	011	2	10	0		604
72	011	2	11	0		0
73	011	2	10	4		689
74	011	2	10	22		609
75	011	2	10	26		596
76	011	2	10	20		724
77	011	2	10	8		573
78	011	2	10	31		625
79	011	2	10	21		553
80	011	2	10	12		586
81	011	2	10	5		607
82	011	2	10	31		702
83	011	2	10	22		558
84	011	2	10	10		616
85	011	2	10	22		567
86	011	2	10	26		630
87	011	2	11	0		0
88	011	2	10	25		677
89	011	2	10	21		564
90	011	2	10	0		609
91	011	2	10	20		569
92	011	2	10	20		559
93	011	2	10	7		538
94	011	2	10	24		634
95	011	2	10	15		580
96	011	2	10	5		587
97	011	2	10	13		574
98	011	2	10	26		642
99	000	2	00	19		613
99	011	2	10	20		555
100	011	2	10	10		611
101	011	2	10	2		649
102	011	2	10	2		582
103	011	2	10	30		705
104	011	2	10	11		570
105	011	2	10	2		582
106	011	2	10	22		656
107	011	2	10	10		573
108	011	2	10	30		606
109	011	2	10	30		597
110	011	2	10	29		630
111	011	2	10	29		648
112	011	2	11	0		0
113	000	2	00	22		561
113	011	2	10	23		667
114	011	2	10	1		631
115	011	2	11	0		0
116	000	2	00	2		612
116	011	2	10	22		706
117	011	2	10	13		597
118	011	2	10	29		674
119	011	2	10	22		607
120	011	2	10	22		617
121	011	2	10	6		667
122	011	2	10	3		570
123	011	2	10	21		672
124	011	2	10	4		623
125	011	2	10	0		613
126	011	2	10	18		557
127	011	2	10	30		712
128	011	2	10	20		569
129	011	2	10	31		586
130	011	2	10	14		566
131	011	2	10	1		654
132	011	2	10	11		634
133	011	2	10	4		587
134	011	2	10	1		569
135	011	2	10	30		630
136	011	2	10	2		617
137	011	2	10	12		601
138	011	2	10	26		573
139	011	2	10	17		557
140	011	2	10	27		586
141	011	2	10	22		592
142	011	2	10	0		618
143	000	2	00	2		633
143	011	2	10	8		587
144	011	2	10	11		561
145	011	2	10	30		593
146	011	2	10	6		579
147	011	2	10	7		535
148	011	2	10	2		580
149	011	2	10	29		716
150	011	2	10	3		584
151	011	2	10	3		640
152	011	2	11	0		0
153	011	2	10	30		580
154	011	2	10	7		669
155	011	2	10	10		630
156	011	2	10	14		560
157	011	2	10	30		576
158	011	2	10	25		563
159	011	2	10	3		567
160	011	2	10	1		666
161	011	2	10	10		576
162	011	2	10	30		631
163	011	2	10	24		557
164	011	2	10	19		552
165	011	2	10	2		551
166	011	2	10	4		581
167	011	2	10	31		570
168	011	2	10	8		564
169	011	2	10	17		541
170	011	2	10	1		596
171	011	2	10	2		567
172	011	2	10	30		592
173	011	2	10	8		562
174	011	2	10	3		570
175	011	2	10	30		673
176	011	2	10	30		593
177	011	2	10	29		641
178	011	2	10	22		573
179	011	2	10	0		603
180	011	2	10	0		579
181	011	2	10	19		548
182	011	2	11	0		0
183	011	2	10	9		544
184	011	2	10	21		614
185	011	2	10	21		550
186	011	2	10	8		556
187	011	2	10	2		549
188	011	2	10	15		580
189	011	2	10	20		565
190	011	2	10	0		600
191	011	2	10	7		558
192	011	2	10	3		576
193	011	2	10	22		564
194	011	2	10	30		578
195	011	2	10	4		605
196	011	2	10	30		597
197	000	2	00	13		587
197	000	2	00	14		802
197	011	2	10	15		607
198	011	2	10	2		642
199	011	2	10	9		583
200	011	2	10	22		617
201	011	2	11	0		0
202	011	2	11	0		0
203	011	2	10	30		651
204	011	2	10	29		622
205	011	2	10	8		538
206	011	2	10	1		747
207	011	2	10	10		576
208	011	2	10	30		613
209	011	2	10	17		586
210	011	2	10	0		602
211	011	2	10	19		528
212	011	2	10	30		728
213	011	2	10	4		646
214	011	2	10	1		584
215	011	2	10	20		555
216	011	2	10	4		636
217	011	2	10	29		658
218	011	2	10	17		578
219	011	2	10	3		566
220	011	2	10	2		590
221	011	2	10	30		680
222	011	2	10	17		572
223	011	2	10	18		588
224	011	2	10	21		725
225	011	2	10	0		580
226	011	2	10	29		594
227	011	2	10	12		668
228	011	2	10	29		672
229	011	2	10	22		596
230	011	2	10	31		562
231	011	2	10	27		567
232	011	2	10	23		541
233	011	2	10	14		549
234	011	2	10	30		587
235	011	2	10	6		590
236	011	2	10	14		614
237	011	2	10	20		651
238	011	2	10	3		587
239	011	2	10	7		604
240	011	2	10	4		573
241	011	2	10	22		581
242	011	2	10	4		705
243	011	2	10	1		852
244	011	2	10	15		582
245	011	2	10	19		554
246	011	2	10	1		600
247	011	2	10	23		642
248	011	2	10	21		577
249	011	2	10	8		630
250	011	2	10	2		619
251	011	2	10	26		594
252	011	2	10	30		605
253	011	2	10	2		546
254	011	2	10	23		549
255	011	2	10	28		621
256	011	2	10	2		630
257	011	2	10	29		594
258	011	2	10	10		680
259	011	2	10	2		544
260	011	2	10	19		534
261	011	2	10	8		606
262	011	2	10	17		534
263	011	2	11	0		0
264	011	2	10	2		564
265	011	2	10	21		544
266	011	2	10	14		574
267	011	2	10	4		595
268	011	2	10	30		632
269	011	2	10	7		542
270	011	2	10	14		578
271	011	2	10	30		602
272	011	2	10	7		562
273	011	2	10	11		563
274	011	2	10	14		588
275	011	2	10	26		677
276	011	2	10	11		598
277	011	2	10	21		576
278	011	2	10	18		554
279	011	2	10	1		569
280	011	2	10	0		648
281	011	2	10	23		539
282	011	2	10	26		560
283	011	2	10	13		557
284	011	2	10	14		672
285	011	2	10	26		565
286	000	2	00	3		754
286	011	2	10	4		663
287	011	2	10	30		578
288	011	2	10	30		683
289	011	2	10	21		558
290	011	2	10	29		686
291	011	2	10	20		560
292	011	2	10	17		637
293	011	2	10	10		597
294	011	2	10	26		575
295	011	2	11	0		0
296	011	2	10	1		621
297	011	2	10	0		629
298	011	2	10	21		563
299	011	2	10	18		596
300	011	2	10	17		549
301	011	2	10	22		605
302	011	2	10	30		750
303	000	2	00	9		544
303	011	2	10	10		733
304	011	2	11	0		0
305	011	2	10	29		662
306	011	2	10	25		629
307	011	2	10	30		683
308	011	2	10	22		596
309	011	2	10	7		597
310	011	2	10	30		640
311	011	2	10	24		579
312	011	2	10	24		637
313	011	2	11	0		0
314	011	2	10	0		583
315	011	2	10	6		608
316	011	2	10	17		589
317	011	2	10	6		642
318	011	2	10	6		586
319	011	2	10	8		598
320	011	2	10	30		672
321	011	2	10	10		577
322	011	2	10	31		570
323	011	2	10	6		679
324	011	2	10	0		638
325	011	2	10	24		564
326	011	2	10	27		598
327	011	2	10	20		613
328	011	2	10	16		578
329	011	2	10	19		536
330	011	2	10	6		592
331	011	2	10	26		574
332	011	2	10	20		565
333	011	2	10	26		569
334	011	2	10	1		625
335	011	2	10	21		580
336	011	2	10	1		573
337	011	2	10	1		595
338	011	2	11	0		0
339	011	2	10	4		578
340	011	2	10	10		642
341	011	2	10	10		590
342	000	2	00	11		576
342	011	2	10	15		572
343	011	2	10	23		757
344	011	2	10	24		947
345	011	2	10	21		606
346	011	2	10	17		615
347	011	2	10	31		607
348	011	2	10	19		606
349	011	2	10	14		562
350	011	2	10	20		558
351	011	2	10	29		613
352	011	2	11	0		0
353	011	2	10	18		636
354	011	2	10	28		581
355	011	2	11	0		0
356	011	2	10	0		586
