LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	29-Apr-2024 21:05:31	0                 
Time	Ampl
-9.96249e-007	0.000625
-9.95749e-007	-0.000625
-9.95249e-007	-0.000625
-9.94749e-007	0
-9.94249e-007	-0.000625
-9.93749e-007	-0.0025
-9.93249e-007	-0.00125
-9.92749e-007	0.000625
-9.92249e-007	0.000625
-9.91749e-007	-0.00125
-9.91249e-007	-0.001875
-9.90749e-007	-0.000625
-9.90249e-007	0.000625
-9.89749e-007	-0.00125
-9.89249e-007	-0.00125
-9.88749e-007	-0.00125
-9.88249e-007	-0.00125
-9.87749e-007	0
-9.87249e-007	0.000625
-9.86749e-007	-0.00125
-9.86249e-007	-0.00125
-9.85749e-007	-0.000625
-9.85249e-007	0
-9.84749e-007	-0.001875
-9.84249e-007	-0.001875
-9.83749e-007	0.000625
-9.83249e-007	-0.000625
-9.82749e-007	-0.001875
-9.82249e-007	-0.000625
-9.81749e-007	0
-9.81249e-007	0
-9.80749e-007	0.000625
-9.80249e-007	-0.00125
-9.79749e-007	-0.001875
-9.79249e-007	-0.00125
-9.78749e-007	-0.000625
-9.78249e-007	-0.000625
-9.77749e-007	-0.001875
-9.77249e-007	0
-9.76749e-007	0.00125
-9.76249e-007	0
-9.75749e-007	-0.000625
-9.75249e-007	-0.00125
-9.74749e-007	0
-9.74249e-007	0.000625
-9.73749e-007	-0.000625
-9.73249e-007	0.000625
-9.72749e-007	0.000625
-9.72249e-007	0
-9.71749e-007	0.000625
-9.71249e-007	0
-9.70749e-007	0
-9.70249e-007	0.000625
-9.69749e-007	-0.000625
-9.69249e-007	-0.001875
-9.68749e-007	-0.00125
-9.68249e-007	0.000625
-9.67749e-007	-0.00125
-9.67249e-007	-0.00125
-9.66749e-007	-0.001875
-9.66249e-007	-0.001875
-9.65749e-007	-0.00125
-9.65249e-007	0.000625
-9.64749e-007	0.000625
-9.64249e-007	0.000625
-9.63749e-007	-0.001875
-9.63249e-007	-0.00125
-9.62749e-007	0.000625
-9.62249e-007	0.000625
-9.61749e-007	-0.000625
-9.61249e-007	-0.000625
-9.60749e-007	0.000625
-9.60249e-007	0.000625
-9.59749e-007	0
-9.59249e-007	-0.000625
-9.58749e-007	-0.00125
-9.58249e-007	-0.000625
-9.57749e-007	-0.00125
-9.57249e-007	-0.00125
-9.56749e-007	-0.00125
-9.56249e-007	-0.001875
-9.55749e-007	-0.0025
-9.55249e-007	0
-9.54749e-007	0.000625
-9.54249e-007	-0.000625
-9.53749e-007	0
-9.53249e-007	0.000625
-9.52749e-007	0.001875
-9.52249e-007	-0.000625
-9.51749e-007	-0.000625
-9.51249e-007	-0.000625
-9.50749e-007	-0.00125
-9.50249e-007	-0.000625
-9.49749e-007	-0.000625
-9.49249e-007	0.000625
-9.48749e-007	0
-9.48249e-007	-0.000625
-9.47749e-007	-0.000625
-9.47249e-007	-0.001875
-9.46749e-007	0.000625
-9.46249e-007	-0.000625
-9.45749e-007	-0.001875
-9.45249e-007	-0.00125
-9.44749e-007	-0.00125
-9.44249e-007	-0.000625
-9.43749e-007	-0.00125
-9.43249e-007	-0.00125
-9.42749e-007	0
-9.42249e-007	0.00125
-9.41749e-007	-0.000625
-9.41249e-007	0
-9.40749e-007	0.000625
-9.40249e-007	-0.000625
-9.39749e-007	0
-9.39249e-007	0.000625
-9.38749e-007	0
-9.38249e-007	0
-9.37749e-007	-0.000625
-9.37249e-007	-0.00125
-9.36749e-007	-0.000625
-9.36249e-007	-0.00125
-9.35749e-007	-0.00125
-9.35249e-007	-0.001875
-9.34749e-007	-0.00125
-9.34249e-007	-0.00125
-9.33749e-007	-0.00125
-9.33249e-007	-0.000625
-9.32749e-007	0
-9.32249e-007	-0.000625
-9.31749e-007	-0.001875
-9.31249e-007	-0.000625
-9.30749e-007	0.000625
-9.30249e-007	0
-9.29749e-007	-0.000625
-9.29249e-007	0
-9.28749e-007	0
-9.28249e-007	-0.000625
-9.27749e-007	0
-9.27249e-007	0
-9.26749e-007	0
-9.26249e-007	0.000625
-9.25749e-007	-0.000625
-9.25249e-007	-0.001875
-9.24749e-007	-0.00125
-9.24249e-007	-0.00125
-9.23749e-007	-0.000625
-9.23249e-007	0
-9.22749e-007	0
-9.22249e-007	-0.00125
-9.21749e-007	0
-9.21249e-007	-0.000625
-9.20749e-007	0.000625
-9.20249e-007	0
-9.19749e-007	0
-9.19249e-007	0.00125
-9.18749e-007	0
-9.18249e-007	-0.00125
-9.17749e-007	-0.000625
-9.17249e-007	0
-9.16749e-007	0
-9.16249e-007	-0.000625
-9.15749e-007	-0.00125
-9.15249e-007	-0.00125
-9.14749e-007	-0.001875
-9.14249e-007	-0.001875
-9.13749e-007	-0.00125
-9.13249e-007	-0.00125
-9.12749e-007	-0.000625
-9.12249e-007	0.000625
-9.11749e-007	-0.00125
-9.11249e-007	-0.00125
-9.10749e-007	-0.000625
-9.10249e-007	0
-9.09749e-007	0
-9.09249e-007	0.000625
-9.08749e-007	0
-9.08249e-007	0
-9.07749e-007	0.00125
-9.07249e-007	0
-9.06749e-007	-0.00125
-9.06249e-007	0
-9.05749e-007	0
-9.05249e-007	-0.001875
-9.04749e-007	-0.000625
-9.04249e-007	-0.00125
-9.03749e-007	-0.00125
-9.03249e-007	-0.001875
-9.02749e-007	-0.00125
-9.02249e-007	-0.000625
-9.01749e-007	-0.00125
-9.01249e-007	-0.00125
-9.00749e-007	0
-9.00249e-007	0
-8.99749e-007	0.000625
-8.99249e-007	0.000625
-8.98749e-007	-0.000625
-8.98249e-007	-0.00125
-8.97749e-007	0
-8.97249e-007	0.00125
-8.96749e-007	-0.000625
-8.96249e-007	-0.00125
-8.95749e-007	-0.000625
-8.95249e-007	0.00125
-8.94749e-007	0
-8.94249e-007	-0.000625
-8.93749e-007	-0.001875
-8.93249e-007	-0.00125
-8.92749e-007	-0.00125
-8.92249e-007	-0.00125
-8.91749e-007	-0.001875
-8.91249e-007	-0.00125
-8.90749e-007	0
-8.90249e-007	-0.000625
-8.89749e-007	-0.00125
-8.89249e-007	0
-8.88749e-007	0
-8.88249e-007	-0.000625
-8.87749e-007	0.000625
-8.87249e-007	0.000625
-8.86749e-007	0.000625
-8.86249e-007	-0.000625
-8.85749e-007	-0.00125
-8.85249e-007	0.000625
-8.84749e-007	0
-8.84249e-007	-0.00125
-8.83749e-007	-0.001875
-8.83249e-007	-0.000625
-8.82749e-007	-0.00125
-8.82249e-007	-0.003125
-8.81749e-007	-0.001875
-8.81249e-007	-0.000625
-8.80749e-007	-0.000625
-8.80249e-007	0
-8.79749e-007	0.000625
-8.79249e-007	-0.00125
-8.78749e-007	-0.00125
-8.78249e-007	0.000625
-8.77749e-007	-0.000625
-8.77249e-007	0
-8.76749e-007	0.00125
-8.76249e-007	0.00125
-8.75749e-007	0.000625
-8.75249e-007	0.001875
-8.74749e-007	0.000625
-8.74249e-007	-0.00125
-8.73749e-007	-0.001875
-8.73249e-007	-0.000625
-8.72749e-007	0
-8.72249e-007	-0.000625
-8.71749e-007	-0.00125
-8.71249e-007	-0.001875
-8.70749e-007	-0.001875
-8.70249e-007	-0.001875
-8.69749e-007	-0.000625
-8.69249e-007	-0.000625
-8.68749e-007	-0.00125
-8.68249e-007	-0.00125
-8.67749e-007	0
-8.67249e-007	-0.000625
-8.66749e-007	-0.000625
-8.66249e-007	0
-8.65749e-007	-0.000625
-8.65249e-007	0
-8.64749e-007	0.00125
-8.64249e-007	0
-8.63749e-007	-0.001875
-8.63249e-007	-0.001875
-8.62749e-007	-0.00125
-8.62249e-007	-0.00125
-8.61749e-007	-0.000625
-8.61249e-007	-0.001875
-8.60749e-007	-0.000625
-8.60249e-007	-0.00125
-8.59749e-007	-0.00125
-8.59249e-007	-0.000625
-8.58749e-007	-0.000625
-8.58249e-007	-0.00125
-8.57749e-007	0.000625
-8.57249e-007	0.000625
-8.56749e-007	-0.000625
-8.56249e-007	0
-8.55749e-007	0.00125
-8.55249e-007	0
-8.54749e-007	-0.000625
-8.54249e-007	0.000625
-8.53749e-007	0
-8.53249e-007	-0.00125
-8.52749e-007	-0.000625
-8.52249e-007	0.000625
-8.51749e-007	-0.00125
-8.51249e-007	-0.001875
-8.50749e-007	-0.000625
