LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:12:54	0                 
Time	Ampl
-2.12224e-007	0.001
-2.11724e-007	0.0013125
-2.11224e-007	0.001
-2.10724e-007	0.000375
-2.10224e-007	6.25e-005
-2.09724e-007	6.25e-005
-2.09224e-007	-0.0005625
-2.08724e-007	-0.0015
-2.08224e-007	-0.0018125
-2.07724e-007	-0.0011875
-2.07224e-007	-0.000875
-2.06724e-007	-0.0005625
-2.06224e-007	-0.000875
-2.05724e-007	-0.0005625
-2.05224e-007	-0.000875
-2.04724e-007	-0.00025
-2.04224e-007	6.25e-005
-2.03724e-007	0.0006875
-2.03224e-007	0.0013125
-2.02724e-007	0.0006875
-2.02224e-007	0.001
-2.01724e-007	0.0013125
-2.01224e-007	0.0013125
-2.00724e-007	0.001
-2.00224e-007	-0.00025
-1.99724e-007	6.25e-005
-1.99224e-007	-0.0005625
-1.98724e-007	-0.0018125
-1.98224e-007	-0.000875
-1.97724e-007	-0.0011875
-1.97224e-007	-0.0018125
-1.96724e-007	-0.0015
-1.96224e-007	-0.0011875
-1.95724e-007	-0.0005625
-1.95224e-007	-0.0005625
-1.94724e-007	6.25e-005
-1.94224e-007	6.25e-005
-1.93724e-007	6.25e-005
-1.93224e-007	0.0006875
-1.92724e-007	0.001
-1.92224e-007	0.001625
-1.91724e-007	0.001
-1.91224e-007	0.001
-1.90724e-007	0.001
-1.90224e-007	0.000375
-1.89724e-007	0.000375
-1.89224e-007	-0.0005625
-1.88724e-007	-0.000875
-1.88224e-007	-0.00025
-1.87724e-007	-0.000875
-1.87224e-007	-0.000875
-1.86724e-007	-0.0005625
-1.86224e-007	-0.00025
-1.85724e-007	-0.0005625
-1.85224e-007	-0.0015
-1.84724e-007	-0.0005625
-1.84224e-007	6.25e-005
-1.83724e-007	6.25e-005
-1.83224e-007	0.000375
-1.82724e-007	0.000375
-1.82224e-007	0.0006875
-1.81724e-007	6.25e-005
-1.81224e-007	6.25e-005
-1.80724e-007	0.001
-1.80224e-007	6.25e-005
-1.79724e-007	6.25e-005
-1.79224e-007	-0.0005625
-1.78724e-007	-0.00025
-1.78224e-007	6.25e-005
-1.77724e-007	6.25e-005
-1.77224e-007	6.25e-005
-1.76724e-007	-0.00025
-1.76224e-007	-0.000875
-1.75724e-007	-0.0005625
-1.75224e-007	6.25e-005
-1.74724e-007	6.25e-005
-1.74224e-007	6.25e-005
-1.73724e-007	-0.00025
-1.73224e-007	6.25e-005
-1.72724e-007	-0.0005625
-1.72224e-007	6.25e-005
-1.71724e-007	6.25e-005
-1.71224e-007	6.25e-005
-1.70724e-007	6.25e-005
-1.70224e-007	0.000375
-1.69724e-007	0.000375
-1.69224e-007	6.25e-005
-1.68724e-007	6.25e-005
-1.68224e-007	6.25e-005
-1.67724e-007	-0.00025
-1.67224e-007	-0.0005625
-1.66724e-007	-0.00025
-1.66224e-007	0.0006875
-1.65724e-007	0.000375
-1.65224e-007	0.000375
-1.64724e-007	0.000375
-1.64224e-007	6.25e-005
-1.63724e-007	-0.00025
-1.63224e-007	-0.0005625
-1.62724e-007	-0.0005625
-1.62224e-007	-0.0011875
-1.61724e-007	-0.000875
-1.61224e-007	-0.00025
-1.60724e-007	-0.0005625
-1.60224e-007	6.25e-005
-1.59724e-007	0.0006875
-1.59224e-007	-0.000875
-1.58724e-007	6.25e-005
-1.58224e-007	6.25e-005
-1.57724e-007	6.25e-005
-1.57224e-007	0.0006875
-1.56724e-007	0.0006875
-1.56224e-007	0.000375
-1.55724e-007	0.001
-1.55224e-007	0.000375
-1.54724e-007	6.25e-005
-1.54224e-007	-0.0005625
-1.53724e-007	-0.0005625
-1.53224e-007	-0.00025
-1.52724e-007	-0.00025
-1.52224e-007	-0.000875
-1.51724e-007	-0.0018125
-1.51224e-007	-0.000875
-1.50724e-007	-0.00025
-1.50224e-007	-0.0005625
-1.49724e-007	-0.0005625
-1.49224e-007	6.25e-005
-1.48724e-007	0.000375
-1.48224e-007	0.0006875
-1.47724e-007	0.000375
-1.47224e-007	0.0006875
-1.46724e-007	0.0006875
-1.46224e-007	0.0006875
-1.45724e-007	-0.0005625
-1.45224e-007	6.25e-005
-1.44724e-007	0.0006875
-1.44224e-007	0.001
-1.43724e-007	6.25e-005
-1.43224e-007	-0.0005625
-1.42724e-007	-0.00025
-1.42224e-007	-0.000875
-1.41724e-007	-0.000875
-1.41224e-007	-0.000875
-1.40724e-007	-0.0005625
-1.40224e-007	-0.0005625
-1.39724e-007	-0.00025
-1.39224e-007	0.0006875
-1.38724e-007	-0.00025
-1.38224e-007	-0.00025
-1.37724e-007	0.0006875
-1.37224e-007	0.000375
-1.36724e-007	0.0013125
-1.36224e-007	0.0006875
-1.35724e-007	0.000375
-1.35224e-007	6.25e-005
-1.34724e-007	0.0006875
-1.34224e-007	0.0006875
-1.33724e-007	-0.000875
-1.33224e-007	-0.000875
-1.32724e-007	-0.00025
-1.32224e-007	-0.000875
-1.31724e-007	-0.000875
-1.31224e-007	-0.000875
-1.30724e-007	-0.000875
-1.30224e-007	-0.0005625
-1.29724e-007	-0.0005625
-1.29224e-007	6.25e-005
-1.28724e-007	0.000375
-1.28224e-007	0.0006875
-1.27724e-007	-0.00025
-1.27224e-007	0.000375
-1.26724e-007	0.0006875
-1.26224e-007	0.000375
-1.25724e-007	6.25e-005
-1.25224e-007	6.25e-005
-1.24724e-007	-0.0005625
-1.24224e-007	-0.0005625
-1.23724e-007	6.25e-005
-1.23224e-007	6.25e-005
-1.22724e-007	6.25e-005
-1.22224e-007	0.000375
-1.21724e-007	-0.0005625
-1.21224e-007	-0.0005625
-1.20724e-007	0.000375
-1.20224e-007	-0.00025
-1.19724e-007	6.25e-005
-1.19224e-007	0.000375
-1.18724e-007	6.25e-005
-1.18224e-007	6.25e-005
-1.17724e-007	-0.00025
-1.17224e-007	6.25e-005
-1.16724e-007	0.0006875
-1.16224e-007	-0.00025
-1.15724e-007	6.25e-005
-1.15224e-007	-0.0005625
-1.14724e-007	-0.00025
-1.14224e-007	-0.0005625
-1.13724e-007	-0.0005625
-1.13224e-007	-0.00025
-1.12724e-007	6.25e-005
-1.12224e-007	6.25e-005
-1.11724e-007	6.25e-005
-1.11224e-007	6.25e-005
-1.10724e-007	0.0006875
-1.10224e-007	6.25e-005
-1.09724e-007	-0.0005625
-1.09224e-007	6.25e-005
-1.08724e-007	0.001
-1.08224e-007	0.0006875
-1.07724e-007	-0.0011875
-1.07224e-007	-0.0005625
-1.06724e-007	-0.00025
-1.06224e-007	-0.0005625
-1.05724e-007	-0.000875
-1.05224e-007	-0.000875
-1.04724e-007	-0.000875
-1.04224e-007	-0.0015
-1.03724e-007	-0.0011875
-1.03224e-007	0.000375
-1.02724e-007	0.0006875
-1.02224e-007	-0.00025
-1.01724e-007	-0.00025
-1.01224e-007	0.0006875
-1.00724e-007	6.25e-005
-1.00224e-007	-0.00025
-9.9724e-008	0.0006875
-9.9224e-008	6.25e-005
-9.8724e-008	-0.00025
-9.8224e-008	-0.00025
-9.7724e-008	-0.0005625
-9.7224e-008	-0.00025
-9.6724e-008	-0.0005625
-9.6224e-008	-0.0005625
-9.5724e-008	-0.0005625
-9.5224e-008	-0.0011875
-9.4724e-008	-0.0005625
-9.4224e-008	-0.0005625
-9.3724e-008	6.25e-005
-9.3224e-008	0.000375
-9.2724e-008	0.0006875
-9.2224e-008	0.000375
-9.1724e-008	-0.0005625
-9.1224e-008	6.25e-005
-9.0724e-008	0.000375
