LECROYWS454	16215	Waveform
Segments	1	SegmentSize	4002
Segment	TrigTime	TimeSinceSegment1
#1	02-May-2024 19:29:36	0                 
Time	Ampl
-2.12394e-007	0.000375
-2.11894e-007	0.0006875
-2.11394e-007	0.000375
-2.10894e-007	6.25e-005
-2.10394e-007	6.25e-005
-2.09894e-007	-0.0005625
-2.09394e-007	6.25e-005
-2.08894e-007	6.25e-005
-2.08394e-007	-0.0005625
-2.07894e-007	0.000375
-2.07394e-007	6.25e-005
-2.06894e-007	-0.00025
-2.06394e-007	-0.00025
-2.05894e-007	-0.00025
-2.05394e-007	-0.0005625
-2.04894e-007	-0.00025
-2.04394e-007	-0.0005625
-2.03894e-007	6.25e-005
-2.03394e-007	0.0006875
-2.02894e-007	0.000375
-2.02394e-007	-0.00025
-2.01894e-007	0.0006875
-2.01394e-007	6.25e-005
-2.00894e-007	-0.0005625
-2.00394e-007	-0.0005625
-1.99894e-007	6.25e-005
-1.99394e-007	-0.0005625
-1.98894e-007	-0.0005625
-1.98394e-007	6.25e-005
-1.97894e-007	-0.000875
-1.97394e-007	-0.000875
-1.96894e-007	-0.0005625
-1.96394e-007	-0.0005625
-1.95894e-007	-0.0005625
-1.95394e-007	-0.00025
-1.94894e-007	0.001
-1.94394e-007	0.000375
-1.93894e-007	6.25e-005
-1.93394e-007	0.0013125
-1.92894e-007	0.000375
-1.92394e-007	0.000375
-1.91894e-007	0.000375
-1.91394e-007	0.000375
-1.90894e-007	6.25e-005
-1.90394e-007	-0.000875
-1.89894e-007	-0.0011875
-1.89394e-007	-0.0005625
-1.88894e-007	-0.0011875
-1.88394e-007	-0.000875
-1.87894e-007	-0.0005625
-1.87394e-007	-0.00025
-1.86894e-007	-0.000875
-1.86394e-007	-0.0005625
-1.85894e-007	0.000375
-1.85394e-007	0.000375
-1.84894e-007	0.0006875
-1.84394e-007	0.001
-1.83894e-007	0.001
-1.83394e-007	0.001
-1.82894e-007	6.25e-005
-1.82394e-007	0.001
-1.81894e-007	0.000375
-1.81394e-007	-0.00025
-1.80894e-007	6.25e-005
-1.80394e-007	-0.000875
-1.79894e-007	-0.0005625
-1.79394e-007	-0.0015
-1.78894e-007	-0.0015
-1.78394e-007	-0.0018125
-1.77894e-007	-0.0018125
-1.77394e-007	-0.0005625
-1.76894e-007	-0.0005625
